plate,reviewer_comments
ili,i love it
ilm,i lige m
ilml,i love my life
ilmo,in loving memory of
ilny,i love new york
ils,inflated lat syndrome
ilt,i like that
ily,i love you
ily2,i love you too
ilya,i love you all
ilyaaf,i love you as a friend
ilyam,i love you as a mate
ilyb,i love you both
ilyf,i will love you forever
ilyg,i love you guys or girls
ilyk,i will let you know
ilyl,i love you lots
ilylas,i love you like a sister
ilylt,i love you long time
ilym,i love you more
ilysdm,i love you so damn much
ilysm,i love you so much
ilysmb,i love you so much baby
ilysmm,i love you so much more
ilyt,i love you too
ilytb,i love you to bits
ilyvm,i love you very much
ilywamh,i love you with all my heart
im,instant message
imaho,in my absolutely honest opinion
imao,in my arrogant opinion
imap,internet message access protocol
imbo,in my biased opinion
imco,in my considered opinion
imd,in my defence
imdb,internet movie database
ime,in my experience
imeo,in my educated opinion
imf,international monetary fund
imh,in my head
imho,in my humble opinion
imk,in my knowledge
immao,in my most arrogant opinion
immd,it made my day
imml,it made me laugh
imnsho,in my not so humble opinion
imo,in my opinion
imoo,in my own opinion
imp,it is my pleasure
impo,in my personal opinion
imr,i mean really
ims,irritable male syndrome
imsmr,if memory serves me right
imu,i miss you
imusm,i miss you so much
imvu,instant messaging virtual universe
imwtk,inquiring minds want to know
imy,i miss you
imya,i miss you already
imym,i miss you more
imysm,i miss you so much
imyt,i miss you too
inah,i need a hug
inb,i am not bothered
inbd,it is no big deal
incydk,in case you did not know
inpo,in no particular order
inrs,it is not rocket science
ins,i am not sure
intk,i need to know
intp,introverted intuitive thinking perceiving 
invu,i envy you
inwly,i never want to lose you
iny,i need you
ioab,i am on a boat
ioc,international olympic committee
ioh,i am outta here
ioi,indication of interest i am over it
ioic,if only i could
iokiyar,it is okay if you are a republican
iom,isle of man
iomw,i am on my way
ion,in other news
iou,i owe you
iow,in other words
ioyk,if only you knew
ip,internet protocol intellectual property
ipa,india pale ale internet protocol address
ipc,ignore post count
ipo,initial public offering
iq,intelligence quotient
ir,infrared injured reserve
ira,irish republican army
irah,insert relevant acronym here
irc,internet relay chat
irdc,i really do not care
irdk,i really do not know
irl,in real life
irly,i really like you
irmc,i rest my case
irs,internal revenue service
isb,i am so bored
isbn,international standard book number
isdk,i simply do not know
isdn,integrated services digital network
ishk,i should have known
isly,i still love you
iso,in search of
isp,internet service provider
iss,international space station i am so sorry
issn,international standard serial number
istatoy,i saw this and thought of you
istg,i swear to god
istm,it seems to me
istr,i seem to recall
iswydt,i see what you did there
iswym,i see what you mean
it,information technology
ita,i totally agree
itai,i will think about it
italy,i trust and love you
itc,in this channel in that case
itf,in the future
itg,in the groove
itiailwy,i think i am in love with you
itiky,i think i know you
itilu,i think i love you
itily,i think i love you
itk,in the know
itm,in the mouth
itma,it is that man again
itn,i think not
ito,in terms of
itoy,i am thinking of you
itp,inside the perimeter
its,i think or thought so
itso,in the style of
itt,in this thread
ittet,in these tough economic times
itv,independent tv 
itwym,is that what you mean
ityf,i think you will find
ityl,i will tell you later
itym,i think you mean
itys,i told you so
ivf,in vitro fertilization
